./mask\0.jpg|215,201,320,385,1,524,374,558,457,2
./mask\1.jpg|506,114,584,226,2
./mask\10.jpg|183,17,218,62,1
./mask\100.jpg|709,69,807,209,2,161,87,264,219,2
./mask\1000.jpg|320,132,612,564,2
./mask\1001.jpg|175,29,393,300,1
./mask\1002.jpg|157,110,382,438,1
./mask\1003.jpg|130,40,284,299,2,4,217,105,393,2
./mask\1004.jpg|531,111,889,542,2
./mask\1005.jpg|229,60,241,87,2,257,48,280,81,2,414,54,434,74,2,545,140,560,155,2
./mask\1006.jpg|736,79,798,196,2,536,146,600,239,2,203,127,257,228,2
./mask\1007.jpg|438,219,699,567,2
./mask\1008.jpg|670,52,744,136,2
./mask\1009.jpg|338,86,528,376,2
./mask\101.jpg|316,132,406,288,2
./mask\1010.jpg|473,738,630,970,2,581,527,756,750,2
./mask\1011.jpg|166,40,205,84,1,287,31,336,86,1,35,19,81,74,1,296,190,327,222,1,172,193,209,235,1,44,188,74,225,1,415,40,454,87,1,420,205,455,249,1
./mask\1012.jpg|111,92,285,335,1
./mask\1013.jpg|175,115,220,160,2,280,63,336,119,2
./mask\1014.jpg|240,79,354,275,2,360,70,492,266,2
./mask\1015.jpg|280,153,486,435,1
./mask\1016.jpg|291,159,672,669,2
./mask\1017.jpg|273,90,517,418,1
./mask\1018.jpg|178,184,254,337,2,498,119,574,240,2,352,154,456,323,2,1,180,44,292,2
./mask\1019.jpg|100,92,256,274,2,766,120,912,322,2
./mask\102.jpg|100,166,207,304,2
./mask\1020.jpg|262,22,570,480,2
./mask\1021.jpg|57,35,139,166,1
./mask\1022.jpg|611,222,637,254,2,397,191,421,235,2,326,233,347,274,2,279,191,302,239,2,222,185,253,244,2,187,192,213,247,2,92,195,120,251,2,155,197,182,260,2,393,238,410,267,2,373,234,391,267,2
./mask\1023.jpg|207,278,668,973,2
./mask\1024.jpg|436,216,682,590,1
./mask\1025.jpg|610,167,812,433,2
./mask\1026.jpg|408,148,574,352,2,610,164,748,390,2
./mask\1027.jpg|277,71,477,313,2
./mask\1028.jpg|328,197,605,559,1
./mask\1029.jpg|152,232,362,520,2,694,22,912,312,2
./mask\103.jpg|199,155,282,289,2,695,127,795,279,2,897,217,924,247,2
./mask\1030.jpg|114,42,185,123,2
./mask\1031.jpg|219,219,332,395,2
./mask\1032.jpg|274,248,398,350,2
./mask\1033.jpg|58,68,89,104,1,86,12,112,51,1,27,63,52,99,1,27,12,55,52,1,87,63,110,96,1,110,64,140,101,1
./mask\1034.jpg|415,183,672,528,1
./mask\1035.jpg|286,78,397,210,1
./mask\1036.jpg|694,56,874,392,2
./mask\1037.jpg|148,184,548,612,2,582,2,978,588,2
./mask\1038.jpg|390,80,542,296,2
./mask\1039.jpg|338,297,531,533,2
./mask\104.jpg|398,122,484,236,2,542,368,646,512,2,748,392,846,532,2
./mask\1040.jpg|96,79,167,201,2
./mask\1041.jpg|255,1,497,280,1
./mask\1042.jpg|139,305,181,370,1,243,320,290,377,1,98,337,134,393,1,377,326,416,386,1
./mask\1043.jpg|341,353,499,576,1
./mask\1044.jpg|478,180,664,400,2
./mask\1045.jpg|360,153,439,257,2
./mask\1046.jpg|348,256,390,294,2,216,269,249,301,2,934,191,973,232,2,992,192,1017,233,2,546,330,577,349,2,563,271,612,301,2
./mask\1047.jpg|422,22,492,144,2,590,16,662,114,2
./mask\1048.jpg|216,82,404,314,2,714,74,878,316,2
./mask\1049.jpg|370,204,466,332,2,704,528,768,614,2
./mask\105.jpg|133,67,278,286,2
./mask\1050.jpg|244,95,627,609,1
./mask\1051.jpg|66,93,298,397,1
./mask\1052.jpg|453,153,564,324,2
./mask\1053.jpg|971,26,997,72,2,192,182,238,233,2,627,113,669,183,2,654,26,664,50,2,490,51,511,79,2,577,65,588,84,2,704,83,733,120,2,828,35,848,69,2,763,8,775,27,2,920,1,936,30,2,695,9,706,26,2,365,142,406,191,2,391,131,516,282,2,159,233,199,305,2,49,166,74,196,2,171,119,192,153,2,245,119,268,157,2,788,12,806,39,2
./mask\1054.jpg|393,330,801,874,2
./mask\1055.jpg|528,248,549,274,2,410,289,429,313,2,367,318,383,340,2,308,326,328,349,2,691,326,708,348,2,718,352,742,382,2,782,258,804,286,2,745,236,769,263,2,548,235,571,257,2
./mask\1056.jpg|541,154,773,417,2
./mask\1057.jpg|278,10,504,366,2,504,10,814,286,2
./mask\1058.jpg|412,398,600,618,2
./mask\1059.jpg|764,106,821,178,2,146,124,213,195,2,994,104,1024,171,2
./mask\106.jpg|209,134,455,460,1
./mask\1060.jpg|179,4,454,452,1
./mask\1061.jpg|225,405,736,1076,2
./mask\1062.jpg|169,27,229,134,2,160,291,216,399,2
./mask\1063.jpg|361,175,650,633,2
./mask\1064.jpg|510,44,620,217,2,602,741,687,848,2
./mask\1065.jpg|371,60,750,613,1
./mask\1066.jpg|324,291,458,482,1
./mask\1067.jpg|355,223,662,657,2
./mask\1068.jpg|500,14,564,104,2
./mask\1069.jpg|38,15,126,127,1
./mask\107.jpg|402,148,650,468,2
./mask\1070.jpg|91,1,389,298,2
